,0,1
0,[ 633. 1033.  458.  677. 2714.  689.  894. 2944. 3716.  117.],896
1,[ 104.  738. 1242. 3011.  295.  708. 2770.  668. 3993. 1515.],471
2,[  24.   12.   61.   23.  879.  220.   10.  120.   26. 2402.],448
3,[ 127.    3.  364.  744. 1108. 2339. 1283. 1179. 2243. 2092.],293
4,[ 361.   13.  335. 1210. 1775. 1137.   14.  233.  821.  682.],268
5,[ 164.  285.  277.  180.  399.   88. 1123. 2673. 3780. 2305.],187
6,[ 137. 1214. 2488.  481. 2254. 1143. 3087. 1492. 1278.   39.],154
7,[ 797.  634.  200. 3904. 2662. 2701. 2576.  291. 3416.  573.],152
8,[ 143.   15. 2629.  678.  902. 2533. 3128. 1358.  219.  359.],123
9,[3828. 3191. 3868. 2839. 1611.  333. 3408.   73. 3445. 2663.],108
10,[ 282.  832. 2382. 2807. 3476. 1253. 3610. 1130. 1074. 3504.],107
11,[ 451. 2973.  348. 1127. 1856. 3604. 1331. 2275. 2709. 1417.],101
12,[ 467.  444. 2238. 1448. 3073.  241. 3984.  873. 3424.  452.],98
13,[2963. 1114. 2953. 1411. 1932. 1567.  455.  891.  413. 2547.],91
14,[  91.  793.  574. 1725. 3052.  196. 1349.  141. 3754.  890.],87
15,[ 454. 2830. 1772. 2451. 3083. 3473. 3489. 1372.  290. 2121.],91
16,[ 245.  674. 1944.  103. 1174.  198.  766.  111.  507. 3443.],84
17,[1384. 3709. 3781. 1094.  188.  172. 3377. 1036.  745. 1088.],89
18,[3120. 3648.   57. 1323.  930. 3672. 2088. 1516. 1357. 1512.],88
19,[ 381.  278.  453.  582. 1065. 3384. 2484. 2351. 3607. 2597.],76
20,[ 969.  146. 3019. 1040. 1940.  416. 3419.  310. 1753. 1431.],85
21,[  94. 1609.  681. 2138.  189. 2644. 1610. 3876.  777. 1879.],84
22,[ 185. 2575. 3300.  485. 1107. 1865.  513. 2565. 2986. 2789.],84
23,[ 505. 2045.  804. 3960. 2125. 2333. 1112. 1851.   18. 2363.],79
24,[ 617.  612. 3141.  209. 2103.],78
25,[ 510.  654. 3590. 1501.   50.  621. 1062. 1716.  925. 3003.],77
26,[2283.  904. 2817. 2150.  358. 2368.  764. 3431. 3572. 2521.],69
27,[1002.  212. 2980. 1400.  463.  831. 3143.  319. 1244. 2316.],81
28,[ 170. 1439. 1261. 3061.  524. 1121.  649. 3456. 2430. 3625.],75
29,[ 371. 1535.  475.  813. 2616. 1415.  841. 1111. 2274.  210.],75
30,[ 470. 2468. 3980. 1265. 3565. 2857. 2928.  895.  163. 2625.],72
31,[2904. 1546. 3939. 1531. 1518. 1306. 2650. 3845.  608.  376.],73
32,[ 842. 2232. 2574. 1360. 2513. 3768.  651.  345.  707. 1325.],72
33,[ 249. 2069.  757. 1869. 2943. 3312.  981.],68
34,[ 601. 1332.  251. 3026.  501.   84.  229. 1521. 3323.  274.],73
35,[1337.  496.  940. 1566. 2195. 2948. 2602. 2499. 3086. 3673.],64
36,[ 537.  462. 2324.  266. 2134. 2751. 3125.  641.  182. 3152.],62
37,[  20. 1776.  227.   74. 1606. 2332. 3321.  264. 1830.  431.],86
38,[  51.  767. 1550.  394. 3217. 1929. 1841. 1118. 2456. 1645.],63
39,[1254. 1465. 1129. 1618. 1171. 3617.  566. 1007.  713. 3039.],56
40,[ 408. 1004.  132. 1674. 1228. 3326. 2966. 3528. 1299. 2160.],62
41,[ 473.  226.   92.  459. 2995. 1891. 2940. 1317.   37. 3577.],58
42,[1126.  323. 1361. 3524. 1581. 1412. 2136. 2448.  889. 2909.],54
43,[  32. 2429.  874. 3186. 3450. 2865.  222.  878.  223.  526.],55
44,[1217. 3492. 1182. 1982. 3952. 3649. 2081. 3295. 2388. 2836.],53
45,[2887.  783.  425. 2058. 2222.  769. 1993. 3517.  869. 2620.],54
46,[1030. 3107. 3479. 1467.  585. 1909. 3146. 3183. 1395. 3874.],54
47,[ 110.  791. 2337.  934. 2510.  625. 1989. 3670.  929. 2288.],50
48,"[3.700e+02 1.000e+00 2.651e+03 3.997e+03 1.290e+03 1.525e+03 1.461e+03
 1.243e+03 1.341e+03 2.902e+03]",52
49,[1579.  275.  313. 1821.  985.  257. 2851. 2609.  918. 2145.],47
50,[2528. 3241. 1141.  441. 2007. 3208. 2964.  320. 1315. 2189.],48
51,[ 403.  991.  439. 1751. 2965.  122. 3307.],51
52,[2369. 3899. 1489. 1820. 1223. 3651. 3543.  385.],50
53,[1741.  244.  557.  382. 3135. 1988. 2172. 1627. 3907. 3167.],51
54,[1122. 1310.  486. 3507. 2553. 2242.  208.  563.  706. 3598.],51
55,[1565. 3552.  577.  119. 3938.  672. 3207.  619. 3765. 3638.],55
56,[1576.  976.  474. 2109. 2693. 2631.  442. 1237.   68. 2660.],50
57,[1268. 2297. 3537. 2580.  736. 1454.  927. 3833.],50
58,[2802. 1528.  334. 3597. 1712.  495.  492. 1536. 3427. 3748.],46
59,[3786. 2446. 1054. 1053. 2974. 1301.  284. 3789.],49
60,[1557. 2568. 2675. 2617. 3729. 3015. 1245. 1266. 1676.  811.],46
61,[ 365. 1305.  443.  434. 1197. 1286. 2848. 3945. 1961.  705.],45
62,[ 165.  329.  923.  388.  558. 1570. 3260. 2284. 3148. 3288.],47
63,[ 732. 1743.  216.  971. 3856. 2230. 2084. 3850.  967. 3017.],46
64,[ 183. 2596. 1968. 1711.   49. 1441. 1956. 2725. 3247. 3831.],45
65,[1510. 1511. 2864. 3313. 3519.],44
66,[ 166. 2268.  658. 3007.  527.  877.   52. 2690.  150. 2271.],41
67,[ 286. 1120.  305. 3813. 3579.  647. 1912.  866. 1115.  996.],41
68,[ 144.  269. 1409. 2318. 2771. 3055. 3726. 3564.  840. 1780.],41
69,[1262. 2323. 3317. 3635. 1046. 2106.],40
70,[1168.  859.  528. 2030.],39
71,[  59.  129. 2543. 1024.  605.  589. 3475. 1438. 1773.  140.],33
72,[1394. 3119.  136. 2108. 1715. 3334. 2588. 1589. 3747. 3718.],37
73,[2171. 1607. 2418. 3834. 1258. 3535. 1855. 1876. 2341.  828.],45
74,[2861. 2739. 2052. 2842. 2178. 2408. 1154. 2209. 2421. 2720.],36
75,[3752.  106. 1812.  312.   11. 2378.   58. 2485. 1789. 1687.],31
76,[1793. 2773. 3390.  752. 2490. 3081. 2386. 1340. 3678. 3263.],37
77,[ 207.  762.  884. 2357.  386. 1469. 1380. 2463. 3192.  375.],36
78,[1200.  626.    7. 3248. 1731. 2240.  460. 2813.  433. 1750.],37
79,[3286.  490. 1682. 1132. 2144.  168. 3341. 1443.  330. 2326.],33
80,[3409. 2392. 2853. 3592.  835. 1273. 3224. 2666. 2261. 3109.],34
81,[3497. 2985.  966.  155. 1414.  775. 1101. 3447. 3490. 1202.],34
82,[1371. 3040. 3101. 3030.  888. 2330.  675. 2683. 2365. 3860.],30
83,[  19.  532. 3190. 3852. 2761. 2105. 2784. 2649. 3602.  843.],33
84,[3064. 3958.  247. 3412.  808. 3360.  586. 3066. 2981.],2
