,0,1
0,"[ 633. 1033.  458.  677. 2714.  689.  894. 2944. 3716.  117.  427.  415.
  253.  657.  840. 2426. 3926. 2757.  620. 2623. 2820. 3958.  985. 3412.
  808. 1392. 3810. 2394. 3619. 1141.]",1114
1,"[  24.   12.   61.   23.  879.  220.   10.  120.   26. 2402. 1137. 1680.
  709.  359. 1129.    5. 1108.  812. 2373. 1536.  958.   11. 1344. 1653.
  873.  161.    4.  260. 2735. 2706.]",568
2,"[ 104.  738. 1242. 3011.  295.  708. 2770.  668. 3993. 1515.   92.  373.
  242. 2429. 3217. 1008.   51.  350. 1652.   13.  185.  758. 3535. 3410.
 2192.  282.  275. 1448. 1865. 1607.]",558
3,"[1.270e+02 3.000e+00 3.640e+02 7.440e+02 2.339e+03 1.283e+03 1.179e+03
 2.243e+03 2.092e+03 2.396e+03 8.760e+02 6.710e+02 3.440e+02 7.770e+02
 2.617e+03 3.736e+03 2.020e+02 2.048e+03 3.180e+03 1.557e+03 3.670e+02
 2.568e+03 6.450e+02 1.854e+03 1.749e+03 2.774e+03 3.279e+03 1.908e+03
 1.340e+03 3.576e+03]",419
4,"[ 361.  335. 1210. 1775.  150.   14.  233.  821.  682.  269.  308.  922.
  890. 2345. 2430. 1638. 3171. 1391.  899.  261.  217. 1011. 2742.  241.
  843. 1593. 3351. 2445. 2105. 2662.]",309
5,"[ 164.  285.  277.  180.  399.   88. 1123. 2673. 3780. 1645. 2912. 2305.
 3688. 2386. 3532. 1937.  733. 1371.  888.  675. 2545. 2406.  650.  144.
 2330. 1191. 2683. 1406.  895. 3966.]",291
6,"[ 137. 1214. 2488.  481. 2254. 1143. 3087. 1492. 1278.   39.  969.  146.
 3419.  804. 1431. 3949. 1940.  505.  416. 1753.  310.   21.  124. 3693.
 2341. 1363. 3868. 2171. 3191. 2878.]",249
7,"[ 797.  634.  200. 3904. 3416. 2701.  291.  596.  573. 3709. 3781.  257.
 1198. 1503. 1565. 1810. 3406. 3552. 2528. 2173.   66. 2134. 1530. 2945.
 1862. 3662.  293. 3860. 2498.  294.]",177
8,"[ 143.   15. 2629.  678.  902. 2533. 3278. 3128. 1358.  219. 2795. 1686.
 3363. 2761. 2279. 1090. 1029. 3470. 3266.  781. 2369.  142. 2336. 2957.
 2827. 3048. 3231. 1832.   19. 2527.]",153
9,"[4.670e+02 4.440e+02 2.238e+03 3.073e+03 5.130e+02 3.424e+03 4.520e+02
 2.450e+02 4.300e+01 1.349e+03 1.212e+03 6.550e+02 2.000e+00 5.330e+02
 9.800e+01 2.457e+03 3.754e+03 1.650e+02 1.960e+02 1.074e+03 2.576e+03
 1.706e+03 1.030e+02 2.229e+03 2.168e+03 3.615e+03 9.230e+02 3.186e+03
 6.200e+01 3.828e+03]",148
10,"[ 454. 2830. 1772. 2451. 3083. 3473.  347. 1372.  290. 2121. 2815. 2060.
  976. 2946. 3489. 1576.  842.  474. 2104. 2693. 3210. 1308. 2831. 2513.
  641.]",129
11,"[ 451. 2973.  348. 1127. 1856. 2275. 3604. 1331. 2709. 1417. 1155. 3614.
 2324. 3413. 2494. 1462. 2522. 2242.  518. 1748. 3901. 1711.  856. 1549.
 3275.  562.  212. 1578. 1699.]",122
12,"[  94. 1609.  681. 1730. 2138.  189. 2644. 1610. 3876.  428. 2178.  722.
  240.  478.  670. 2352. 1095. 2634. 3678. 1853. 2150. 3396.  904. 1233.
 3415. 2319. 2817. 1654.  503. 3573.]",116
13,"[2283.  358. 2368.  764. 3431. 3572. 3219. 1238.  215.  717. 3593. 1692.
 3092.  639. 2231. 2595. 2266. 2333. 1798.  556. 2125.  935.  445.  107.
 1205. 3808.  586. 1668. 1439.  524.]",116
14,"[2963. 1114. 2953. 1411.  401. 1567.  891.  455.  413. 1356. 3078.  224.
  940. 3986.  337.  482. 1070. 3388.  496.  110.]",107
15,"[  59.  129. 2543. 1024.  605.  589. 3475. 1438.  463.  140. 1303.  264.
 2980.  582. 1002.  831. 2484. 1469.   74.  780.  538.  377.  207. 2332.
  479. 3644. 1630. 1244.  227.  381.]",97
