,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,杜甫选集（中国古典文学名家选集[42.00](1),白居易选集（中国古典文学名家选集[46.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
1,中洲远古三大传说(套装共3册[默认规格](1),努门诺尔与中洲之未完的传说[99.00](1),精灵宝钻：精装插图本[109.00](1),霍比特人:精装插图本[78.00](1),魔戒:插图本[179.00](1),,,,,,,,,,,,,,,,,,,,,,
2,中国当代摄影景观(1980-2020)[188.00](1),生活在别处（新（米兰.昆德拉作品系列[42.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
3,政治的逻辑--马克思主义政治学原理[98.00](1),第二次世界大战战史[100.00](1),重走:在公路、河流和驿道上寻找西南联大[98.00](1),魏晋之际的政治权利与家族网络[88.00](1),,,,,,,,,,,,,,,,,,,,,,,
4,在城望乡：田野中国五讲[59.00](1),改变中国（经济学家的改革记述[69.00](1),空间的力量：地理、政治与城市发展（第2版[59.00](1),,,,,,,,,,,,,,,,,,,,,,,,
5,大国政治的悲剧（修订版[98.00](1),理解全球冲突与合作：理论与历史（第十版）（东方编译所译丛）[78.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
6,全球书店步行(第一辑)[88.00](1),大流感——最致命瘟疫的史诗[98.00](1),繁花（精装）[298.00](1),经济人的末日（大学译丛[35.00](1),,,,,,,,,,,,,,,,,,,,,,,
7,伍尔夫作品·译文名著精选[默认规格](1),精灵宝钻：精装插图本[109.00](1),霍比特人:精装插图本[78.00](1),,,,,,,,,,,,,,,,,,,,,,,,
8,中医基础理论（第3版[30.00](1),临床中药学（第3版）（全国普通高等教育中医药类精编教材）[48.00](1),伤寒论讲义（第3版[35.00](1),温病学（第3版）（全国普通高等教育中医药类精编教材）[38.00](1),,,,,,,,,,,,,,,,,,,,,,,
9,五百年来王阳明（精编插图版[98.00](1),道教大辞典[298.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
10,赖世雄中级美语上下册[默认规格](1),赖世雄高级美语（美语从头学[36.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
11,创意素描的诀窍+素描的诀窍[默认规格](1),透视画法入门[58.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
12,哲学的慰藉[58.00](1),旅行的艺术[58.00](1),身份的焦虑[58.00](1),,,,,,,,,,,,,,,,,,,,,,,,
13,东南亚史:危险而关键的十字路口[128.00](1),社会达尔文主义：美国思想潜流[55.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
14,伊斯坦布尔：一座城市的记忆[89.00](1),我的名字叫红[59.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
15,天神与天地之道：巫觋信仰与传统思想渊源（全二册）[248.00](1),重走:在公路、河流和驿道上寻找西南联大[98.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
16,局外人（加缪作品[22.00](1),无缘社会[45.00](1),月亮和六便士（译文名著精选[25.00](1),江城[45.00](1),置身事内：中国政府与经济发展[65.00](1),西西弗神话（加缪作品[32.00](1),,,,,,,,,,,,,,,,,,,,,
17,波拉尼奥短篇集套装（共两册）[默认规格](1),被涂污的鸟[65.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
18,怀仁集王羲之书圣教序(1-8)[默认规格](1),王铎行书五言律诗（彩色放大本中国著名碑帖）[56.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
19,平常的恶+不正义的多重面孔[默认规格](1),精神疾病与心理学（译文经典[30.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
20,大同书（蓬莱阁典藏哲学思想[42.00](1),爱弥儿（世界教育名著译丛[42.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
21,中医舌诊研究与临床应用[68.00](1),小猫小猫睡觉吧（麦田精选图画书[32.80](1),,,,,,,,,,,,,,,,,,,,,,,,,
22,小径分岔的花园（博尔赫斯全集）[35.00](1),尼采诗集[58.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
23,波拉尼奥短篇集套装（共两册）[默认规格](1),荒野侦探[79.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
24,暴雨下在病房里[45.00](1),月球[49.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
25,三国演义（注评本（全三册[68.00](1),西游记（注评本（全三册[70.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
26,他改变了中国：江泽民传[59.00](1),分裂的西方[48.00](1),大棋局--美国的首要地位及其地缘战略[42.00](1),,,,,,,,,,,,,,,,,,,,,,,,
27,勃拉姆斯两首狂想曲 OP.79[25.00](1),勃拉姆斯钢琴作品OP.118[23.00](1),德彪西 儿童乐园[30.00](1),舒曼 少年曲集OP.68[48.00](1),,,,,,,,,,,,,,,,,,,,,,,
28,南师所讲呼吸法门精要[26.00](1),男根谈：男科专家全方位解析“根”和“性”的奥秘[68.00](1),袜子：隐秘的安慰（小文艺口袋文库·知物系列[38.00](1),,,,,,,,,,,,,,,,,,,,,,,,
29,奇石--来自东西方的报道（译文纪实[48.00](1),寻路中国--从乡村到工厂的自驾之旅[46.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
30,世纪套装\\中国历代文论选 1+中国历代文论选(2)+中国历代文论选3+中国历史文论选4[默认规格](1),古代文论名篇详注[46.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
31,成语小古文80篇[35.80](1),文言文启蒙读本（新一版[32.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
32,小学生咬文嚼字手册[18.00](1),成语小古文80篇[35.80](1),,,,,,,,,,,,,,,,,,,,,,,,,
33,徐霞客游记（国学典藏[58.00](1),梦溪笔谈（国学典藏[34.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
34,中国历代名言精编[26.00](1),孙子（国学典藏[28.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
35,新课程小学语文知识分项提高训练.一年级（田老师教语文）[32.00](1),新课程小学语文知识分项提高训练.三年级（田老师教语文）[32.00](1),新课程小学语文知识分项提高训练.二年级（田老师教语文）[32.00](1),新课程小学语文知识分项提高训练.四年级（田老师教语文）[32.00](1),,,,,,,,,,,,,,,,,,,,,,,
36,<世说新语>详解（全二册[78.00](1),中国天文学史（上下册）[368.00](1),历代职官表[96.00](1),,,,,,,,,,,,,,,,,,,,,,,,
37,十三经注疏（全二册[458.00](1),康熙字典（王引之校改本[298.00](1),惶然录（精装本）[68.00](1),,,,,,,,,,,,,,,,,,,,,,,,
38,区块链治理：原理与场景[60.00](1),链之以法-区块链值得信任吗?[68.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
39,赖世雄中级美语上下册[默认规格](1),赖世雄初级美语从头学上下2册套装[默认规格](1),赖世雄高级美语（美语从头学[36.00](1),,,,,,,,,,,,,,,,,,,,,,,,
40,秦谜:重新发现秦始皇（插图增订版[89.00](1),葛剑雄写史--中国历史的二十个片断[68.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
41,初中英语怎样教系列—关于阅读 听说 写作课堂1.2那些事儿套装全5册 初中英语辅导书 鞭辟入里 循序渐进[默认规格](1),初中英语读写教学设计[58.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
42,变形记·诗艺[79.00](1),埃涅阿斯纪　特洛亚妇女[69.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
43,格致方法质性研究方法译丛套装[默认规格](1),质性研究方法(第二版)(格致方法·社会科学研究方法系列)[75.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
44,乞力马扎罗的雪[48.00](1),浮士德（译文名著精选[38.00](1),远大前程（译文名著精选）[42.00](1),,,,,,,,,,,,,,,,,,,,,,,,
45,小径分岔的花园（博尔赫斯全集）[35.00](1),沙之书（博尔赫斯全集）[38.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
46,局外人 西西弗神话 鼠疫（加缪作品）[默认规格](1),置身事内：中国政府与经济发展[65.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
47,中国特色社会主义[52.00](1),中国震撼三部曲：中国震撼·中国触动·中国超越[108.00](1),文明型国家（中国话语丛书[45.00](1),这就是中国系列[默认规格](1),,,,,,,,,,,,,,,,,,,,,,,
48,一瓣太阳——可控核聚变的寻梦之旅[35.00](1),生命之光——神经科学家探索生死边界之旅[50.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
49,另一个，同一个（博尔赫斯全集）[48.00](1),德米安：彷徨少年时[29.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
50,单词的历史：英语人名词语趣谈[38.00](1),单词的历史：英语词源漫谈（第2版）[39.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
51,安身立命:大时代中的知识人[88.00](1),社会心理学（第12版）（心理学核心课程教材系列丛书）[118.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
52,三家评注李长吉歌诗（精）[98.00](1),东坡乐府笺（精[78.00](1),孟浩然诗集笺注（增订本[68.00](1),陶渊明集校笺（修订本（精（全二册[138.00](1),,,,,,,,,,,,,,,,,,,,,,,
53,名校名师 高考英语作文全攻略（第2版）[49.80](1),名校名师 高考英语考纲词汇同步学练测[39.80](1),名校名师中考英语词汇和语法全攻略（第2版）[49.80](1),,,,,,,,,,,,,,,,,,,,,,,,
54,发光的骨头[68.00](1),祥瑞:王莽和他的时代[79.80](1),,,,,,,,,,,,,,,,,,,,,,,,,
55,精灵宝钻：精装插图本[109.00](1),霍比特人:精装插图本[78.00](1),魔戒精装插图本共七卷[628.00](1),,,,,,,,,,,,,,,,,,,,,,,,
56,制造宠物：支配与感情[78.00](1),想象的共同体--民族主义的起源与散布（增订版[58.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
